filename,speaker_id,emotion,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,centroid,bandwidth,rolloff
h001.WAV,h001,Happy,-129.75595,118.54154,-11.383024,24.44417,3.862827,3.5599813,-12.954899,-12.862228,-15.9839115,9.452494,-13.493749,8.564757,-4.8717885,0.08434274655963303,0.19864707,1792.0928757201614,1997.4506525033626,3540.285778920585
h002.WAV,h002,Happy,-142.57732,121.93771,-12.54791,36.892742,8.070633,0.71597177,-14.928674,-7.779238,-5.4722214,12.729007,-13.206688,10.609706,-10.961827,0.07357474662162163,0.18444143,1704.1170003146663,1970.357793012442,3484.9452333192567
h003.WAV,h003,Happy,-185.45058,109.64446,-13.659838,24.214178,-1.1718225,3.2581956,-12.835964,-1.5540953,-6.403898,11.483546,-8.833496,8.382911,-7.00092,0.10661104765013055,0.12996009,2059.7695401828933,2123.5868061062743,4189.332457061847
h004.WAV,h004,Happy,-264.1969,92.14428,-67.5388,14.0191145,-4.796426,-34.370068,-12.178195,-14.051593,-20.970345,12.380483,-15.848092,-2.293347,-3.6984937,0.11663079717356688,0.075290896,1935.5204395762612,1603.505821290958,3401.9032083499205
h005.WAV,h005,Happy,-256.07358,59.179054,-35.52365,-13.548522,-17.71389,-33.044052,-27.493065,-19.965694,-12.8071375,-13.204908,-17.531002,-5.222113,-19.146698,0.1282979815486348,0.11338752,2351.9106813782078,2241.4403769540636,4285.5483748400175
h006.WAV,h006,Happy,-429.95322,-39.415356,-28.73443,-21.263874,-28.49574,-4.9565496,-15.665351,-3.6824408,0.15038852,-9.656945,-17.209618,-8.118954,-3.3254135,0.3441005216496865,0.035229538,4308.679945998492,2757.931561809161,7449.745757004311
h007.WAV,h007,Happy,-405.3756,61.345753,-38.269775,-33.920612,-31.591051,-9.961795,-9.241432,-36.313663,-21.301767,-6.5114365,-26.806133,-11.704426,-22.554783,0.13287510016025642,0.020401925,2197.9891695876972,2267.681369930627,4253.221717247596
h008.WAV,h008,Happy,-513.9881,43.44823,-19.721626,-7.037636,-11.694991,-21.049007,-16.78082,-17.547752,-18.224522,-8.904005,-15.900196,-4.36232,2.3055482,0.19779376594387754,0.026214765,2646.3694841437014,2370.726922269354,4937.255859375
s001.WAV,s001,Sad,-193.55847,108.27509,-15.73749,17.228996,-5.327384,6.956812,-4.1335473,-2.9164815,-10.289834,14.629327,-8.605516,6.29546,-4.3261895,0.1045478144778481,0.13304749,2065.323633486994,2171.0730100954947,4217.850233633307
s002.WAV,s002,Sad,-528.6188,40.574802,-13.876218,-4.203634,-12.6967325,-18.785913,-4.757595,-12.302386,-7.34372,-10.403186,-11.890384,-10.564282,-17.552504,0.26048477836277173,0.015271343,2994.397765519413,2564.7495691452386,5695.9418255349865
s003.WAV,s003,Sad,-486.1895,37.957306,-18.6234,-7.1084585,-20.13707,-26.222395,-6.5603075,-21.910566,-10.413152,-11.67027,-13.2290945,-9.60035,-15.699137,0.18192155393835616,0.02171283,2567.974207075006,2468.017416775235,4955.055516909247
