filename,emotion,speaker_id
h001.WAV,Happy,h001
h002.WAV,Happy,h002
h003.WAV,Happy,h003
h004.WAV,Happy,h004
h005.WAV,Happy,h005
h006.WAV,Happy,h006
h007.WAV,Happy,h007
h008.WAV,Happy,h008
s001.WAV,Sad,s001
s002.WAV,Sad,s002
s003.WAV,Sad,s003
s004.WAV,Sad,s004
s005.WAV,Sad,s005
a001.WAV,Angry,a001
a002.WAV,Angry,a002
a003.WAV,Angry,a003
a004.WAV,Angry,a004
a005.WAV,Angry,a005
a006.WAV,Angry,a006
a007.WAV,Angry,a007
a008.WAV,Angry,a008
a009.WAV,Angry,a009
a010.WAV,Angry,a010
a011.WAV,Angry,a011
a012.WAV,Angry,a012
a013.WAV,Angry,a013
a014.WAV,Angry,a014
a015.WAV,Angry,a015
a016.WAV,Angry,a016
a017.WAV,Angry,a017
a018.WAV,Angry,a018
a019.WAV,Angry,a019
a020.WAV,Angry,a020
a021.WAV,Angry,a021
a022.WAV,Angry,a022
a023.WAV,Angry,a023
a024.WAV,Angry,a024
a025.WAV,Angry,a025
a026.WAV,Angry,a026
a027.WAV,Angry,a027
a028.WAV,Angry,a028
a029.WAV,Angry,a029
a030.WAV,Angry,a030
a031.WAV,Angry,a031
a032.WAV,Angry,a032
a033.WAV,Angry,a033
a034.WAV,Angry,a034
a035.WAV,Angry,a035
a036.WAV,Angry,a036
a037.WAV,Angry,a037
a038.WAV,Angry,a038
a039.WAV,Angry,a039
a040.WAV,Angry,a040
a041.WAV,Angry,a041
a042.WAV,Angry,a042
a043.WAV,Angry,a043
a044.WAV,Angry,a044
a045.WAV,Angry,a045
a046.WAV,Angry,a046
a047.WAV,Angry,a047
n001.WAV,Normal,n001
n002.WAV,Normal,n002
n003.WAV,Normal,n003
n004.WAV,Normal,n004
n005.WAV,Normal,n005
n006.WAV,Normal,n006
n007.WAV,Normal,n007
n008.WAV,Normal,n008
n009.WAV,Normal,n009
n010.WAV,Normal,n010
n011.WAV,Normal,n011
n012.WAV,Normal,n012
n013.WAV,Normal,n013
n014.WAV,Normal,n014
n015.WAV,Normal,n015
n016.WAV,Normal,n016
n017.WAV,Normal,n017
n018.WAV,Normal,n018
n019.WAV,Normal,n019
n020.WAV,Normal,n020
n021.WAV,Normal,n021
n022.WAV,Normal,n022
n023.WAV,Normal,n023
n024.WAV,Normal,n024
n025.WAV,Normal,n025
n026.WAV,Normal,n026
n027.WAV,Normal,n027
n028.WAV,Normal,n028
n029.WAV,Normal,n029
n030.WAV,Normal,n030
n031.WAV,Normal,n031
n032.WAV,Normal,n032
n033.WAV,Normal,n033
n034.WAV,Normal,n034
n035.WAV,Normal,n035
n036.WAV,Normal,n036
n037.WAV,Normal,n037
n038.WAV,Normal,n038
n039.WAV,Normal,n039
n040.WAV,Normal,n040
n041.WAV,Normal,n041
n042.WAV,Normal,n042
n043.WAV,Normal,n043
n044.WAV,Normal,n044
n045.WAV,Normal,n045
n046.WAV,Normal,n046
n047.WAV,Normal,n047
n048.WAV,Normal,n048
n049.WAV,Normal,n049
n050.WAV,Normal,n050
n051.WAV,Normal,n051
n052.WAV,Normal,n052
n053.WAV,Normal,n053
n054.WAV,Normal,n054
n055.WAV,Normal,n055
n056.WAV,Normal,n056
n057.WAV,Normal,n057
n058.WAV,Normal,n058
n059.WAV,Normal,n059
n060.WAV,Normal,n060
n065.WAV,Normal,n065
n066.WAV,Normal,n066
n067.WAV,Normal,n067
n068.WAV,Normal,n068
n069.WAV,Normal,n069
n070.WAV,Normal,n070
n071.WAV,Normal,n071
n072.WAV,Normal,n072
n073.WAV,Normal,n073
n074.WAV,Normal,n074
n075.WAV,Normal,n075
n076.WAV,Normal,n076
n077.WAV,Normal,n077
n078.WAV,Normal,n078
n079.WAV,Normal,n079
n080.WAV,Normal,n080
n081.WAV,Normal,n081
n082.WAV,Normal,n082
no61.WAV,Normal,no61
no62.WAV,Normal,no62
no63.WAV,Normal,no63
no64.WAV,Normal,no64
