filename,speaker_id,accent,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,centroid,bandwidth,rolloff
b001.WAV,B001,Batangas,-256.07358,59.179054,-35.52365,-13.548522,-17.71389,-33.044052,-27.493065,-19.965694,-12.8071375,-13.204908,-17.531002,-5.222113,-19.146698,0.1282979815486348,0.11338752,2351.9106813782078,2241.4403769540636,4285.5483748400175
b002.WAV,B002,Batangas,-391.3721,50.367435,-37.38836,-17.07196,-17.225313,-29.739367,-16.972973,-17.530867,-11.352375,-6.739447,-13.402317,-6.653499,-15.53086,0.18195001642267267,0.044623207,2585.2424593522037,2239.82211402731,4504.351641680743
b003.WAV,B003,Batangas,-445.03824,63.052135,-37.55868,-11.822436,-5.47232,-32.101074,-19.161453,-3.0305958,-13.321923,-4.007869,-11.003076,-3.5316865,-17.829842,0.18565044981060605,0.033436738,2553.6173514577017,2166.1603976981132,4612.346857244318
b004.WAV,B004,Batangas,-463.47858,37.745205,-14.6889515,-6.38993,-17.359434,-24.439972,-13.493718,-11.280841,-10.275503,-6.451735,-17.268461,-9.350628,-16.240425,0.23433540962837837,0.022041975,2915.33250146464,2461.492234488018,5413.660657728041
b005.WAV,B005,Batangas,-522.9538,67.06613,38.84136,-6.984801,-45.56533,-30.328367,0.40971914,-14.087699,-13.757655,1.5155151,-26.209581,-1.1157175,-18.078281,0.2546657986111111,0.027691271,2449.0582173673492,2173.495534147657,4229.599609375
b006.WAV,B006,Batangas,-499.382,33.053974,-22.389385,-1.173348,-1.4418087,-14.582631,-18.224047,-7.700961,-11.432586,-0.9503259,-11.374553,-12.530682,-13.172863,0.20289024939903846,0.02204426,2874.4031116261294,2542.823477067144,5491.5879469651445
b007.WAV,B007,Batangas,-485.94998,23.003933,-20.702915,22.970886,-1.3859924,-34.24705,-6.9421453,-4.303191,-9.519101,-11.536493,-14.739839,-5.8696876,-14.960645,0.24681745256696427,0.036619205,3226.352440587881,2509.05662514353,5744.5587158203125
b008.WAV,B008,Batangas,-381.00446,61.445354,-37.398552,-6.3639617,-9.22543,-40.198017,-30.754004,-21.295172,-9.201704,-4.5894136,-18.704422,0.10464706,-17.941809,0.1596923828125,0.061914194,2071.451013597926,1960.9749774008783,3521.217041015625
b009.WAV,B009,Batangas,-446.19318,74.8483,-6.1720676,-36.244965,-62.021557,-39.05877,3.0284436,-12.067735,-13.147037,9.808616,-31.5391,-6.8807616,-5.529908,0.134796142578125,0.03975688,2075.7977769199783,2142.9265878431206,3556.006622314453
b010.WAV,B010,Batangas,-424.1664,68.41644,-15.318248,-10.843351,-18.826365,-23.345129,-11.426618,-21.941172,-25.739597,-11.979701,-21.07069,-9.592241,-17.483978,0.1379321752201897,0.027120035,2124.849316570859,2173.22983293559,3815.9578649009145
