filename,accent,speaker_id
b001.WAV,Batangas,B001
b002.WAV,Batangas,B002
b003.WAV,Batangas,B003
b004.WAV,Batangas,B004
b005.WAV,Batangas,B005
b006.WAV,Batangas,B006
b007.WAV,Batangas,B007
b008.WAV,Batangas,B008
b009.WAV,Batangas,B009
b010.WAV,Batangas,B010
b011.WAV,Batangas,B011
b012.WAV,Batangas,B012
b013.WAV,Batangas,B013
b014.WAV,Batangas,B014
b015.WAV,Batangas,B015
b016.WAV,Batangas,B016
b017.WAV,Batangas,B017
b018.WAV,Batangas,B018
b019.WAV,Batangas,B019
b020.WAV,Batangas,B020
b021.WAV,Batangas,B021
b022.WAV,Batangas,B022
b023.WAV,Batangas,B023
b024.WAV,Batangas,B024
b025.WAV,Batangas,B025
b026.WAV,Batangas,B026
l001.wav,Laguna,L001
l002.wav,Laguna,L002
l003.wav,Laguna,L003
l004.wav,Laguna,L004
l005.wav,Laguna,L005
l006.wav,Laguna,L006
l007.wav,Laguna,L007
l008.wav,Laguna,L008
l009.wav,Laguna,L009
l010.wav,Laguna,L010
l011.wav,Laguna,L011
l012.wav,Laguna,L012
l013.wav,Laguna,L013
l014.wav,Laguna,L014
l015.wav,Laguna,L015
l016.wav,Laguna,L016
l017.wav,Laguna,L017
l018.wav,Laguna,L018
l019.wav,Laguna,L019
l020.wav,Laguna,L020
l021.wav,Laguna,L021
l022.wav,Laguna,L022
l023.wav,Laguna,L023
l024.wav,Laguna,L024
l025.wav,Laguna,L025
l026.wav,Laguna,L026
l027.wav,Laguna,L027
l028.wav,Laguna,L028
l029.wav,Laguna,L029
l030.wav,Laguna,L030
l031.wav,Laguna,L031
l032.wav,Laguna,L032
l033.wav,Laguna,L033
l034.wav,Laguna,L034
l035.wav,Laguna,L035
l036.wav,Laguna,L036
l037.wav,Laguna,L037
l038.wav,Laguna,L038
l039.wav,Laguna,L039
l040.wav,Laguna,L040
l041.wav,Laguna,L041
l042.wav,Laguna,L042
l043.wav,Laguna,L043
l044.wav,Laguna,L044
l045.wav,Laguna,L045
l046.wav,Laguna,L046
l047.wav,Laguna,L047
l048.wav,Laguna,L048
l049.wav,Laguna,L049
l050.wav,Laguna,L050
l051.wav,Laguna,L051
l052.wav,Laguna,L052
q001.wav,Quezon,Q001
q002.wav,Quezon,Q002
q003.wav,Quezon,Q003
q004.wav,Quezon,Q004
q005.wav,Quezon,Q005
q006.wav,Quezon,Q006
q007.wav,Quezon,Q007
q008.wav,Quezon,Q008
q009.wav,Quezon,Q009
q010.wav,Quezon,Q010
q011.wav,Quezon,Q011
q012.wav,Quezon,Q012
q013.wav,Quezon,Q013
q014.wav,Quezon,Q014
q015.wav,Quezon,Q015
q016.wav,Quezon,Q016
q017.wav,Quezon,Q017
q018.wav,Quezon,Q018
q019.wav,Quezon,Q019
q020.wav,Quezon,Q020
q021.wav,Quezon,Q021
q022.wav,Quezon,Q022
q023.wav,Quezon,Q023
q024.wav,Quezon,Q024
q025.wav,Quezon,Q025
r001.WAV,Rizal,R001
r002.WAV,Rizal,R002
r003.WAV,Rizal,R003
r004.WAV,Rizal,R004
r005.wav,Rizal,R005
r006.WAV,Rizal,R006
r007.WAV,Rizal,R007
r008.WAV,Rizal,R008
r009.WAV,Rizal,R009
r010.wav,Rizal,R010
r011.WAV,Rizal,R011
r012.WAV,Rizal,R012
r013.WAV,Rizal,R013
r014.WAV,Rizal,R014
r015.wav,Rizal,R015
r016.WAV,Rizal,R016
r017.wav,Rizal,R017
r018.WAV,Rizal,R018
r019.WAV,Rizal,R019
r020.WAV,Rizal,R020
r021.WAV,Rizal,R021
r022.WAV,Rizal,R022
r023.WAV,Rizal,R023
r024.WAV,Rizal,R024
r025.WAV,Rizal,R025
r026.WAV,Rizal,R026
r027.WAV,Rizal,R027
r028.WAV,Rizal,R028
r029.WAV,Rizal,R029
r030.WAV,Rizal,R030
r031.WAV,Rizal,R031
