accuracy,loss,val_accuracy,val_loss,learning_rate
0.5178571343421936,0.9248257875442505,0.6071428656578064,0.6341465711593628,0.0010000000474974513
0.7276785969734192,0.5760854482650757,0.6071428656578064,0.6909500956535339,0.0010000000474974513
0.7991071343421936,0.39375039935112,0.5357142686843872,0.6565006971359253,0.0010000000474974513
0.875,0.2769588530063629,0.6071428656578064,0.6474622488021851,0.0010000000474974513
0.9107142686843872,0.24416181445121765,0.5714285969734192,0.6863394975662231,0.0010000000474974513
0.8973214030265808,0.23907995223999023,0.6071428656578064,0.7678779363632202,0.0010000000474974513
0.9553571343421936,0.14235398173332214,0.5714285969734192,0.7851795554161072,0.0005000000237487257
0.9642857313156128,0.12447862327098846,0.5357142686843872,0.820224404335022,0.0005000000237487257
0.96875,0.11365029960870743,0.5714285969734192,0.8320102691650391,0.0005000000237487257
0.96875,0.09998798370361328,0.6071428656578064,0.8471238017082214,0.0005000000237487257
0.9821428656578064,0.0719493180513382,0.6071428656578064,0.8073305487632751,0.0005000000237487257
0.9955357313156128,0.056981414556503296,0.5714285969734192,0.828574538230896,0.0002500000118743628
0.9866071343421936,0.05387634038925171,0.6071428656578064,0.8469974398612976,0.0002500000118743628
